date,media_key,media_name,platform,placement_id,placement_name,placement_type,thirdparty_id,thirdparty_name,report_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-04-19,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,16,Fyber,4,25,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-19,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,34,ID 34,4,909,909,627,52,0.911260,68.98,8.29,1.4534
2026-04-19,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,18,Pangle,4,31,30,16,2,0.000000,51.61,12.50,0.0000
2026-04-19,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,0,Adpopcorn SSP,1,143,35,9,1,0.034108,6.29,11.11,3.7898
2026-04-19,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,34,ID 34,4,125,125,89,0,0.498961,71.20,0.00,5.6063
2026-04-19,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,0,Adpopcorn SSP,1,1175,374,261,70,1.801854,22.21,26.82,6.9037
2026-04-19,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,21,AppLovin WF,4,0,0,1,0,0.000000,0.00,0.00,0.0000
2026-04-19,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,16,Fyber,4,8,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-19,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,34,ID 34,4,674,674,477,61,0.655953,70.77,12.79,1.3752
2026-04-19,152630613,황금거위(AOS),,DECp68UA1uOBhfu,황금거위_미니게임2_RV_Android,RV,18,Pangle,4,9,9,4,0,0.000000,44.44,0.00,0.0000
2026-04-19,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,0,Adpopcorn SSP,1,98,32,7,1,0.032391,7.14,14.29,4.6273
2026-04-19,880605234,황금거위(iOS),,889ZlHXzRQjWWmw,황금거위_미니게임2_RV_iOS,RV,34,ID 34,4,88,88,64,4,0.280522,72.73,6.25,4.3832
