date,country_code,currency_code,data_complete_through,supabase_status,adpopcorn_status,google_ads_status,offerwall_status,fx_status,active_users,signup_count,direct_signup_count,guest_created_count,guest_succession_count,guest_merge_count,actual_new_member_count,total_entry_account_count,new_participants_first_ad,reward_points_total,reward_events_total,withdrawal_count_total,withdrawal_points_total,giftcard_order_count_total,giftcard_point_amount_total,giftcard_purchase_amount_total,giftcard_sell_price_total,giftcard_margin_vs_point_total,supabase_ad_revenue_usd,supabase_ad_revenue_local,supabase_ad_event_count,referral_rewarded_customers,referral_reward_events,referral_reward_points_total,reward_points_egg,reward_events_egg,reward_points_card_game,reward_events_card_game,reward_points_vault_game,reward_events_vault_game,reward_points_bonus_cash,reward_events_bonus_cash,reward_points_check_in_mission,reward_events_check_in_mission,withdrawal_count_pending,withdrawal_points_pending,withdrawal_count_completed,withdrawal_points_completed,withdrawal_count_rejected,withdrawal_points_rejected,adpopcorn_revenue_usd,adpopcorn_revenue_local,adpopcorn_request_count,adpopcorn_response_count,adpopcorn_impression_count,adpopcorn_click_count,adpopcorn_fill_rate,adpopcorn_ecpm,adpopcorn_revenue_usd_rv,adpopcorn_revenue_local_rv,adpopcorn_impression_count_rv,adpopcorn_fill_rate_rv,adpopcorn_ecpm_rv,adpopcorn_revenue_usd_iv,adpopcorn_revenue_local_iv,adpopcorn_impression_count_iv,adpopcorn_fill_rate_iv,adpopcorn_ecpm_iv,adpopcorn_revenue_usd_banner,adpopcorn_revenue_local_banner,adpopcorn_impression_count_banner,adpopcorn_fill_rate_banner,adpopcorn_ecpm_banner,preferred_revenue_usd,preferred_revenue_local,google_ads_cost_local,google_ads_conversions,google_ads_impressions,google_ads_cpa_local,offerwall_cost_local,offerwall_attempt_count,offerwall_completion_count,offerwall_conversion_rate,offerwall_cost_per_completion_local,profit_local
2026-07-28,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2452,616,616,0,0,0,616,616,341,174999,31394,9,27000,6,22200,21440,21800,760,0,0,0,18,18,9000,108853,20193,10558,2450,17630,4158,16078,3602,21880,991,0,0,9,27000,0,0,204.167348,282387,0,0,82144,0,0,2.4855,59.185575,81861,11447,0,5.1704,137.853611,190668,20524,0,6.7167,7.128162,9859,50173,0,0.1421,204.167348,282387,60878,90,6581,676,2536380,18072,14091,77.97,180,-2489870
2026-07-29,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-07-29,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2444,679,679,0,0,0,679,679,383,169187,30515,8,28000,9,21300,20250,20800,1050,0,0,0,24,24,12000,104288,19757,9765,2225,17335,4005,16048,3549,21751,979,0,0,7,25000,1,3000,190.884609,264016,1,0,77903,0,7790300.00,2.4503,52.542425,72672,11260,0,4.6663,132.398348,183122,20175,2017500.00,6.5625,5.943836,8221,46468,0,0.1279,190.884609,264016,46534,136,6467,342,3124800,22632,17360,76.71,180,-3076505
2026-07-30,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-07-30,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2472,667,667,0,0,0,667,667,377,171305,31191,16,52000,9,16500,14250,14500,2250,0,0,0,11,11,5300,104285,20145,9685,2306,18052,4086,16613,3634,22670,1020,0,0,16,52000,0,0,195.215215,270006,0,0,77884,0,0,2.5065,57.450584,79461,11613,0,4.9471,131.251762,181537,20884,0,6.2848,6.512869,9008,45387,0,0.1435,195.215215,270006,32906,104,5944,316,2691180,19140,14951,78.11,180,-2625385
2026-07-31,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-07-31,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2359,558,558,0,0,0,558,558,319,164376,30008,19,61000,7,15500,14670,15000,830,0,0,0,12,12,6000,98185,19282,10344,2276,17615,3934,16079,3556,22153,960,0,0,19,61000,0,0,169.784195,234831,0,0,67273,0,0,2.5238,49.205100,68056,10902,0,4.5134,115.895579,160297,19128,0,6.0589,4.683516,6478,37243,0,0.1258,169.784195,234831,0,0,1,0,2002860,14886,11127,74.75,180,-1932405
2026-08-01,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,1,1,1,0,0,0,1,1,1,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-01,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2079,39,39,0,0,0,39,39,36,154092,29338,11,33000,11,30100,28760,29200,1340,0,0,0,7,7,3500,89762,18790,9632,2241,16330,3772,16138,3568,22230,967,0,0,11,33000,0,0,106.162141,146835,0,0,62998,0,0,1.6852,40.755808,56370,11192,0,3.6415,63.550010,87897,19522,0,3.2553,1.856323,2568,32284,0,0.0575,106.162141,146835,892,0,28,0,0,0,0,0,0,-8149
2026-08-02,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,1,1,1,0,0,0,1,1,1,100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,10,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-02,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2024,27,27,0,0,0,27,27,24,152617,29274,13,41000,11,23000,20790,21000,2210,0,0,0,6,6,3000,87376,18533,9455,2252,17291,3875,16100,3642,22395,972,0,0,13,41000,0,0,112.629509,155780,0,0,61863,0,0,1.8206,42.627602,58959,11016,0,3.8696,68.362805,94554,18887,0,3.6196,1.639102,2267,31960,0,0.0513,112.629509,155780,5086,8,1294,636,0,0,0,0,0,-1923
2026-08-03,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,3,3,3,0,0,0,3,3,3,189,19,0,0,0,0,0,0,0,0,0,0,0,0,0,186,18,0,0,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-03,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,2113,128,123,5,0,0,123,128,108,159130,30242,8,26000,15,44100,42960,43600,1140,0,0,0,9,9,4500,92305,19139,10346,2361,17372,4020,16347,3699,22760,1023,0,0,8,26000,0,0,258.523625,357569,4,1,78112,0,1952800.00,3.3097,60.327447,83440,11769,0,5.1260,100.941603,139614,19697,492425.00,5.1247,97.254575,134515,46646,0,2.0849,258.523625,357569,760608,474,356645,1605,0,0,0,0,0,-562169
2026-08-04,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,5,6,0,6,2,0,2,6,5,205,27,0,0,0,0,0,0,0,0,0,0,0,0,0,166,18,9,3,13,3,7,2,10,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-04,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2131,150,90,60,8,3,98,150,105,160365,30549,22,90000,18,67800,64840,65800,2960,0,0,0,12,12,7000,94522,19385,9826,2342,17126,4039,17161,3810,21730,973,0,0,22,90000,0,0,386.536421,534625,2,0,80075,0,4003750.00,4.8272,99.864694,138125,11465,0,8.7104,121.724249,168359,19530,976500.00,6.2327,164.947478,228142,49080,0,3.3608,386.536421,534625,734695,596,406242,1233,,,,,,
2026-08-05,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,12,17,0,17,4,1,4,17,10,1114,118,0,0,0,0,0,0,0,0,0,0,0,0,0,861,78,87,10,68,13,48,12,50,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-05,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2135,165,91,74,7,15,98,165,112,162477,30780,11,40000,10,25500,24620,25000,880,0,0,0,6,6,3000,95452,19530,10056,2343,17646,4074,16843,3834,22480,999,1,3000,10,37000,0,0,592.534441,819545,1,0,75731,0,7573100.00,7.8242,125.826157,174032,11826,0,10.6398,201.681861,278950,19667,1966700.00,10.2548,265.026423,366563,44238,0,5.9909,592.534441,819545,258339,455,101160,568,,,,,,
2026-08-06,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,18,19,3,16,6,1,9,19,14,1363,172,0,0,0,0,0,0,0,0,0,0,1,1,500,1034,104,80,19,74,22,105,21,70,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-06,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2145,171,84,87,9,4,93,171,122,160726,30439,10,32000,6,21500,21210,21500,290,0,0,0,5,5,2500,95115,19526,10400,2290,17289,3988,15991,3663,21931,972,0,0,10,32000,0,0,630.315338,871800,0,0,77711,0,0,8.1110,127.666597,176578,11842,0,10.7808,218.242569,301855,20250,0,10.7774,284.406172,393367,45619,0,6.2344,630.315338,871800,227118,446,84772,509,,,,,,
2026-08-07,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,23,14,0,14,7,0,7,14,13,1959,225,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,146,81,21,194,30,85,22,70,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-07,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2098,119,57,62,8,3,65,119,79,161154,30083,14,42000,12,25400,23310,23900,2090,0,0,0,6,6,3000,93717,19113,9985,2289,17729,3978,16353,3713,23370,990,0,0,14,42000,0,0,589.335927,815121,0,0,74863,0,0,7.8722,122.351957,169227,11469,0,10.6681,199.723820,276242,19186,0,10.4099,267.260150,369652,44208,0,6.0455,589.335927,815121,185634,379,62724,490,,,,,,
2026-08-08,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,20,12,0,12,4,0,4,12,11,1709,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,144,54,9,81,18,50,15,120,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-08,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2130,160,85,75,7,8,92,160,115,163208,30628,22,79000,16,49800,48010,48800,1790,0,0,0,12,12,5800,95296,19387,9865,2362,17679,4043,17435,3843,22933,993,1,5000,21,74000,0,0,616.410780,852569,2,0,78425,0,3921250.00,7.8599,128.022885,177071,11751,0,10.8946,212.153310,293433,19708,985400.00,10.7648,276.234585,382065,46966,0,5.8816,616.410780,852569,237058,465,78714,510,,,,,,
2026-08-09,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,27,16,1,15,9,1,10,16,13,2593,327,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,205,90,20,207,45,197,42,180,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-09,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2147,157,90,67,9,4,99,157,109,166048,30934,19,65000,14,27100,23060,23800,4040,0,0,0,13,13,6500,95881,19527,11042,2455,18619,4107,17536,3849,22970,996,0,0,19,65000,0,0,623.840958,862845,0,0,78933,0,0,7.9034,132.749975,183609,12577,0,10.5550,221.956241,306992,20720,0,10.7122,269.134742,372245,45636,0,5.8974,623.840958,862845,240642,444,77782,542,,,,,,
2026-08-10,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,19,8,0,8,2,0,2,8,6,1720,204,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,141,41,13,137,22,137,24,70,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-10,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2186,168,103,65,6,9,109,168,110,164275,31089,23,84000,17,36800,32230,30000,4570,0,0,0,7,7,3500,96152,19779,10276,2349,17666,4112,17126,3825,23055,1024,0,0,23,84000,0,0,567.500097,784919,0,0,75173,0,0,7.5493,121.416520,167933,11696,0,10.3810,211.900770,293084,19897,0,10.6499,234.182807,323902,43580,0,5.3736,567.500097,784919,232047,650,82823,357,,,,,,
2026-08-11,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,25,29,4,25,7,1,11,29,13,2139,267,0,0,0,0,0,0,0,0,0,0,1,1,500,1611,173,68,19,123,34,97,28,240,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-11,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,5668,9327,3968,5359,163,11,4131,9327,3452,296639,45316,17,59000,13,33000,31380,32000,1620,0,0,0,36,36,18000,217771,31896,11647,2669,24141,5341,18250,4168,24830,1242,0,0,17,59000,0,0,1419.613127,1963492,0,0,157930,0,0,8.9889,193.175014,267184,15496,0,12.4661,565.436076,782065,34247,0,16.5105,661.002037,914243,108187,0,6.1098,1419.613127,1963492,210471,624,75482,337,3500448,40773,20836,51.10,168,-2044066
2026-08-12,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,23,14,1,13,2,0,3,14,8,1489,209,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,144,34,9,92,27,97,26,50,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-12,KR,KRW,2026-08-25,ready,ready,ready,ready,ready,4863,6642,2257,4385,144,13,2401,6642,2311,286039,44576,16,59000,14,33400,31450,31900,1950,0,0,0,31,31,15500,203411,30381,12662,2876,24282,5580,20114,4479,25570,1260,0,0,16,59000,0,0,1107.097494,1531246,0,0,124713,0,0,8.8772,189.100398,261548,15298,0,12.3611,413.351365,571714,28466,0,14.5209,504.645731,697984,80949,0,6.2341,1107.097494,1531246,394889,492,195553,803,744912,9882,4434,44.87,168,105406
2026-08-13,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,24,10,0,10,2,0,2,10,9,1642,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,147,44,13,124,32,70,19,230,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-13,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2742,198,108,90,29,8,137,198,181,219141,37350,21,67000,8,16000,14230,14500,1770,0,0,0,14,14,7000,139789,24081,11867,2775,22077,4981,19827,4338,25581,1175,0,0,21,67000,0,0,681.331262,942361,0,0,96175,0,0,7.0843,152.651598,211135,14194,0,10.7547,252.160422,348767,23776,0,10.6057,276.519242,382459,58205,0,4.7508,681.331262,942361,728140,427,280011,1705,,,,,,
2026-08-14,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,20,5,0,5,3,0,3,5,5,1553,238,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,164,57,17,131,30,123,19,140,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-14,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2542,125,54,71,13,5,67,125,97,203150,35612,13,39000,12,25500,23710,24000,1790,0,0,0,10,10,5000,125393,22668,11721,2649,20828,4801,19098,4342,26110,1152,0,0,13,39000,0,0,656.991999,908697,3,1,92045,0,3068166.67,7.1377,144.068607,199264,13793,0,10.4451,238.044647,329244,22925,764166.67,10.3836,274.878745,380190,55327,0,4.9683,656.991999,908697,733614,269,196592,2727,,,,,,
2026-08-15,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,20,8,1,7,3,0,4,8,6,1430,210,0,0,0,0,0,0,0,0,0,0,1,1,500,949,153,23,7,138,23,70,20,250,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-15,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2486,137,75,62,10,9,85,137,114,195976,35398,20,64000,9,25300,24950,25300,350,0,0,0,7,7,3500,117339,22318,12209,2783,20313,4757,19962,4380,26153,1160,1,5000,19,59000,0,0,650.090194,899151,0,0,91820,0,0,7.0801,141.771544,196087,13746,0,10.3137,234.570969,324439,22812,0,10.2828,273.747681,378625,55262,0,4.9536,650.090194,899151,215503,361,85222,597,,,,,,
2026-08-16,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,19,4,0,4,0,0,0,4,4,1151,190,0,0,0,0,0,0,0,0,0,0,0,0,0,768,140,122,6,94,21,57,16,110,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-16,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2546,147,72,75,18,7,90,147,103,197571,36390,20,64000,17,41800,39900,40800,1900,0,0,0,13,13,6500,117444,23011,11797,2805,21017,4900,20083,4478,27230,1196,0,0,20,64000,0,0,611.737198,846104,0,0,91771,0,0,6.6659,141.333175,195480,14045,0,10.0629,234.380321,324176,23130,0,10.1332,236.023702,326449,54596,0,4.3231,611.737198,846104,136081,305,55233,446,,,,,,
2026-08-17,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,13,4,0,4,0,0,0,4,3,733,130,0,0,0,0,0,0,0,0,0,0,0,0,0,526,98,12,3,78,14,37,12,80,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-17,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2506,148,87,61,18,5,105,148,106,193783,36215,22,68000,7,22500,21550,22000,950,0,0,0,11,11,5300,111034,22785,12532,2862,22417,4896,20935,4534,26865,1138,1,3000,21,65000,0,0,612.818427,847600,0,0,93091,0,0,6.5830,147.622744,204180,14314,0,10.3132,241.072836,333432,23491,0,10.2623,224.122847,309988,55286,0,4.0539,612.818427,847600,284628,485,86721,587,,,,,,
2026-08-18,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,15,2,0,2,2,0,2,2,2,876,160,0,0,0,0,0,0,0,0,0,0,0,0,0,558,114,22,6,53,16,63,16,180,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-18,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2484,136,74,62,9,8,83,136,93,189964,35982,21,69000,16,31600,29100,29800,2500,0,0,0,8,8,4000,109862,22721,11909,2750,21055,4828,20128,4500,27010,1183,0,0,21,69000,0,0,601.489087,831930,0,0,93751,0,0,6.4158,146.014344,201955,14551,0,10.0347,238.101815,329323,23549,0,10.1109,217.372928,300652,55651,0,3.9060,601.489087,831930,185344,337,70476,550,,,,,,
2026-08-19,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,13,1,0,1,0,0,0,1,1,742,144,0,0,0,0,0,0,0,0,0,0,0,0,0,511,103,22,6,52,15,117,18,40,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-19,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2440,117,56,61,9,10,65,117,77,187268,35638,25,83000,20,44200,40390,41200,3810,0,0,0,7,7,3500,107485,22436,11963,2764,21134,4736,20386,4540,26300,1162,25,83000,0,0,0,0,589.554852,815424,0,0,89271,0,0,6.6041,143.969617,199127,14282,0,10.0805,233.500775,322959,23265,0,10.0366,212.084460,293338,51724,0,4.1003,589.554852,815424,181481,351,68012,517,,,,,,
2026-08-20,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,11,2,0,2,2,0,2,2,2,1019,150,0,0,0,0,0,0,0,0,0,0,0,0,0,562,101,30,9,69,17,58,14,300,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-20,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2464,115,62,53,4,8,66,115,79,186938,35819,21,63000,12,29600,26960,27600,2640,0,0,0,11,11,5300,108177,22592,12158,2745,21006,4757,20366,4591,25231,1134,21,63000,0,0,0,0,629.773951,871051,0,0,89517,0,0,7.0352,147.997638,204698,14003,0,10.5690,236.120819,326583,22678,0,10.4119,245.655494,339770,52836,0,4.6494,629.773951,871051,166483,316,57885,527,,,,,,
2026-08-21,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,15,3,0,3,1,0,1,3,2,869,171,0,0,0,0,0,0,0,0,0,0,0,0,0,628,124,24,7,65,15,102,20,50,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-21,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2405,128,71,57,8,7,79,128,83,185990,35181,26,84000,6,14300,13910,14300,390,0,0,0,12,12,6000,106910,22214,11266,2706,20867,4680,20087,4454,26860,1127,26,84000,0,0,0,0,601.110287,831406,0,0,87138,0,0,6.8984,148.285514,205096,13852,0,10.7050,233.083859,322382,22013,0,10.5885,219.740914,303928,51273,0,4.2857,601.110287,831406,187530,352,58791,533,,,,,,
2026-08-22,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,18,5,0,5,2,0,2,5,4,1506,223,0,0,0,0,0,0,0,0,0,0,2,2,1000,1025,163,37,10,65,18,99,23,280,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-22,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2387,105,51,54,9,5,60,105,66,183641,35216,20,66000,13,34000,32610,33500,1390,0,0,0,9,9,4500,104900,22115,11832,2801,20695,4721,19614,4431,26600,1148,20,66000,0,0,0,0,596.112174,824493,0,0,90346,0,0,6.5981,146.920938,203209,14150,0,10.3831,228.502713,316046,22675,0,10.0773,220.688523,305238,53521,0,4.1234,596.112174,824493,122430,215,33078,569,,,,,,
2026-08-23,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,21,8,0,8,3,1,3,8,5,1655,256,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,167,113,19,141,29,157,30,140,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-23,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2424,113,57,56,11,10,68,113,76,190452,36234,30,103000,14,37000,34640,35400,2360,0,0,0,12,12,6000,107666,22558,13021,2901,21950,4955,20684,4667,27131,1153,30,103000,0,0,0,0,603.100081,834158,0,0,90535,0,0,6.6615,149.821625,207221,14205,0,10.5471,246.096675,340381,23341,0,10.5435,207.181781,286557,52989,0,3.9099,603.100081,834158,136689,229,38557,597,,,,,,
2026-08-24,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,14,1,0,1,1,0,1,1,1,913,156,0,0,0,0,0,0,0,0,0,0,0,0,0,695,117,20,6,60,15,58,15,80,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-24,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2471,118,61,57,13,7,74,118,96,193661,36715,23,79000,14,35000,33260,34000,1740,0,0,0,8,8,4000,109877,22930,12918,2969,21780,4922,21516,4703,27570,1191,23,79000,0,0,0,0,638.713428,883416,0,0,94688,0,0,6.7455,153.516837,212332,14243,0,10.7784,240.214006,332244,23158,0,10.3728,244.982585,338840,57287,0,4.2764,638.713428,883416,255146,404,76027,632,,,,,,
2026-08-25,JP,JPY,2026-08-25,ready,not_connected,not_connected,not_connected,ready,11,3,0,3,1,0,1,3,2,815,129,0,0,0,0,0,0,0,0,0,0,0,0,0,546,88,19,6,56,13,54,15,140,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
2026-08-25,KR,KRW,2026-08-25,ready,ready,ready,delayed,ready,2417,112,65,47,7,7,72,112,76,186936,35754,36,118000,15,34300,31410,32300,2890,0,0,0,15,15,7300,106787,22421,12332,2835,20925,4810,20092,4565,26800,1123,36,118000,0,0,0,0,598.786804,828193,0,0,91342,0,0,6.5554,144.687441,200120,14114,0,10.2513,236.271097,326791,23088,0,10.2335,217.828266,301282,54140,0,4.0234,598.786804,828193,178988,307,67850,583,,,,,,
