as_of_date,country,total_account_count,registered_member_count,guest_account_count,unique_rewarded_users,member_participation_rate,total_account_participation_rate,source
2026-08-24,KR,55723,45238,10485,91,0.002012,0.001633,Supabase auth.users profiles and cpx_research_history aggregate
2026-08-24,JP,220,91,129,2,0.021978,0.009091,Supabase auth.users profiles and cpx_research_history aggregate
