country,period_start,period_end,clicks,active_user_days,complete_count,canceled_count,portal_net_revenue_usd,unique_rewarded_users,reward_events,reversal_events,points_awarded,points_deducted,net_points
KR,2026-07-13,2026-08-24,1476,606,112,5,95.88,91,337,5,33177,1566,31611
JP,2026-07-13,2026-08-24,30,15,3,0,4.13,2,10,0,1344,0,1344
